employee_code	gender	name	address	NRIC	tel_mobile	tel_home	Date joined	date of birth
03326	female	Elaina Ling	"Blk 17 Lorong 6 Jurong, #14-11"	S1897996D	9207-2424	6164-2504	21-Mar-2007	21-Apr-1990
04599	male	Elwin Abisheganaden	"Blk 448 Geylang Street 79, #15-08"	S3455708Z	9417-8175	6056-1445	7-Jan-2004	24-Sep-1987
03337	female	Estelle Ling	"Blk 19 Hougang Street 20, #07-03"	S4688382F	8826-2150	6525-3020	12-Nov-2002	3-Oct-1973
03706	female	Farida Mahmood	1 Chong Boon Terrace	S3333309I	9522-5137	6924-3721	25-Sep-2008	23-Apr-1988
03725	female	Farida Mohamad	1 Serangoon Heights	S0572623F	8622-8085	6168-6624	4-Jul-2001	13-Nov-1970
03992	male	Felix Tan	4 Jalan Tamban	S6856244M	9950-5125	6151-5833	24-Sep-2005	24-Aug-1981
04067	male	Garett Gomez	"Blk 359 Lorong 3 Jurong East, #12-20"	S9806338R	9349-1492	6716-7611	3-Aug-2005	4-Nov-1988
04147	male	Gavin Chang	84 Serangoon Vista	S1345891D	9103-0522	6659-2617	13-Mar-2006	18-May-1987
04280	male	George Goh	"Blk 156 Geylang East Street 89, #02-36"	S0857243X	9149-6224	6104-5212	10-Mar-2005	28-Mar-1981
04467	female	Georgina Guo	9 Sengkang Walk	S3942802Q	9012-9541	6955-8378	9-Sep-2004	8-Jun-1981
04679	male	Gilbert Khoo Kai Wen	36 Tengah Heights	S1935493N	8406-0110	6495-3460	23-Apr-2008	11-Jul-1973
04682	female	Hafsah Nordin	60 Kembangan Vista	S6214623N	9710-4550	6821-0678	9-May-2002	23-Oct-1984
04840	male	Hans Thumboo	77 Admiralty Center	S9847577X	9178-0317	6197-5389	22-Sep-2008	16-Dec-1985
04996	male	Harry Teo	4 Bedok Circle	S6576948C	9187-6320	6818-3935	24-Feb-2008	1-Apr-1979
05114	male	Herman Sun	1 Serangoon Gardens Walk	S7283116I	9910-4232	6298-7984	14-Oct-2003	18-Jan-1981
05202	female	Ho Jing Hui	"Blk 38 Clementi Street 16, #08-15"	S9793319G	8401-1229	6925-9616	3-Aug-2006	17-Mar-1985
05120	male	Jarred Leong	“80 Tanglin Hill”	S4978602U	9335-2933	6759-5464	7-Sep-2001	31-Mar-1983
05547	female	Jeannie Chua	“35 Jalan Peradun”	S2996055W	9101-2870	6328-0566	9-Jul-2001	10-Sep-1977
05316	male	Jeff  Soh	“70 Jalan Bunga Rampai”	S4303861I	9731-6710	6709-5037	19-Jan-2006	18-Apr-1983
05859	male	Joesph Toy	"Blk 204 Jurong East Street 80, #01-26"	S5494327U	8649-0858	6898-6164	16-May-2008	26-Mar-1989
05444	female	Julia Chee	"Blk 14 Aljunied Street 37, #17-14"	T1675252P	9575-2217	6150-4448	30-Mar-2002	23-Dec-1981
05212	male	Kaden Chang	"Blk 120 Serangoon Gardens Street 81, #15-02"	S4798725X	9458-6165	6377-7226	22-Sep-2003	11-Oct-1982
05258	male	Kaden Ramanathan	8 Jalan Besut	S6564555H	8611-0679	6032-2046	7-Apr-2004	30-Mar-1986
05267	male	Khalish Nordin	"Blk 16 Lorong 6 Hougang, #04-12"	S3825474H	9631-5919	6183-8163	21-Mar-2008	15-Apr-1983
05268	female	Kim Woo	“3 Bukit Panjang Court”	S8489754W	9268-0090	6761-2012	1-Jun-2007	29-Sep-1981
05287	male	Leng Koon Tan Patrick	“38 Jalan Mawar”	S8868478M	9293-6425	6764-1662	12-May-2010	5-Oct-1980
05350	female	Leow Eng Yeo	“16 Jalan Minggu”	S7370420L	9466-9908	6230-6720	28-Jan-2002	28-May-1989
05371	female	Gladys Woo	"Blk 298 Bukit Panjang Street 82, #14-04"	S9562291L	8523-6095	6306-2924	26-May-2008	25-Jun-1985
05537	female	Julia Guo	“11 Jalan Kechil”	S6729744G	8343-2842	6376-0046	28-Dec-2004	7-Jun-1984
05541	female	Julia	“11 Jalan Kechil”	S6729744G	8343-2841	6376-0041	28-Dec-2005	7-Jun-1985
05547	female	Gladys	"Blk 298 Bukit Panjang Street 82, #14-04"	S9562291L	8523-6095	6306-2924	26-May-2008	25-Jun-1985
05597	female	Leow Eng Sun	“16 Jalan Minggu”	S7370420L	9466-9900	6230-6730	28-Jan-2002	28-May-1989
05651	male	Tan Patrick	“38 Jalan Mawar”	S8868478M	9293-7425	3764-1662	12-May-2011	5-Oct-1981
05708	male	Jeffrey	“70 Jalan Bunga Rampai”	S4303861N	9731-6710	6709-5037	19-Jan-2004	18-Apr-1984
05857	female	Georgina X	“9 Sengkang Walk”	S3942802Q	9012-9541	6955-1378	9-Sep-2004	8-Jun-1982
05878	female	Georgina Y	“91 Sengkang Walk”	S3942802Q	9012-9541	6955-2378	9-Sep-2000	8-Jun-1982
05955	female	Georgina Z	“9 Sengkang Walk”	S3942802Q	9012-9541	6955-3378	9-Sep-2004	8-Jun-1983
05968	female	Georgina A	“91 Sengkang Walk”	S3942802Q	9012-9541	6955-4378	9-Sep-2001	8-Jun-1982
06061	female	Georgina B	“9 Sengkang Walk”	S3942802Q	9012-9541	6955-5378	9-Sep-2004	8-Jun-1981
06080	female	Georgina C	91 Sengkang Walk	S3942802Q	9012-9543	6955-6378	9-Sep-2003	8-Jun-1982
06131	female	Georgina D	91 Sengkang Walk	S3942802Q	9012-9544	6955-7378	9-Sep-2004	8-Jun-1981
06135	female	Georgina E	“9 Sengkang Walk”	S3942802Q	9012-9545	6955-8378	9-Sep-2004	8-Jun-1983
06145	female	Georgina F	91 Sengkang Walk	S3942802Q	9012-9546	6955-9378	9-Sep-2004	8-Jun-1981
06174	female	Georgina G	“9 Sengkang Walk”	S3942802Q	9012-9547	6955-0378	9-Sep-2002	8-Jun-1982
06371	female	Georgina H	91 Sengkang Walk	S3942802Q	9012-9548	6955-1178	9-Sep-2003	8-Jun-1984
06463	female	Georgina I	“9 Sengkang Walk”	S3942802Q	9012-9549	6955-1278	9-Sep-2002	8-Jun-1981
06632	female	Georgina J	91 Sengkang Walk	S3942802Q	9012-9541	6955-1378	9-Sep-2002	8-Jun-1982
"06637"	male	Patric A	“38 Jalan Mawar1”	S8868478M	9293-6425	6764-1462	10-May-2010	5-Oct-1980
"06649"	male	Patric A	“38 Jalan Mawar2”	S8868478N	9293-6426	6764-1562	11-May-2010	6-Oct-1980
"06672"	male	Patric A	“38 Jalan Mawar3”	S8868478O	9293-6427	6764-1662	12-May-2010	7-Oct-1980
"06736"	male	Patric A	“38 Jalan Mawar4”	S8868478P	9293-6428	6764-1762	13-May-2010	8-Oct-1980
"06745"	male	Patric A	“38 Jalan Mawar5”	S8868478Q	9293-6429	6764-1862	14-May-2010	9-Oct-1980
"06747"	male	Patric A	“38 Jalan Mawar6”	S8868478R	9293-6420	6764-1962	16-May-2010	15-Oct-1980
"06770"	male	Patric A	“38 Jalan Mawar7”	S8868478S	9293-6435	6764-2062	17-May-2010	25-Oct-1980
"06775"	male	Patric A	“38 Jalan Mawar8”	S8868478T	9293-6445	6764-2162	18-May-2010	5-Oct-1981
"06882"	male	Patric A	“38 Jalan Mawar9”	S8868478U	9293-6455	6764-2262	19-May-2010	5-Oct-1982
"06883"	male	Patric A	“38 Jalan Mawar10”	S8868478V	9293-6465	6764-2362	12-June-2010	5-Oct-1983
"07068"	male	Patric A	“38 Jalan Mawar11”	S8868478W	9293-6475	6764-2462	13-June-2010	5-Oct-1984
"07069"	male	Patric A	“38 Jalan Mawar12”	S8868478X	9293-6485	6764-2562	14-June-2010	5-Oct-1985
"07072"	male	Patric A	“38 Jalan Mawar13”	S8868478Y	9293-6495	6764-2662	15-June-2010	5-Oct-1986
"07088"	male	Patric A	“38 Jalan Mawar14”	S8868478Z	9293-6405	6764-2762	16-June-2010	5-Oct-1987
"07134"	male	Bernie Kwok_p	"Blk 207 Geylang East Street 84, #03-34"	S2593754G	9628-7759	6406-2171	22-Aug-2004	30-Dec-1985
"07182"	female	Betty Ee_i	“9 Bukit Timah View”	S1196675X	9909-6175	6596-9768	20-Jul-2005	14-Aug-1985
"07196"	female	Cassandra Chia_f	"Blk 420 Sengkang Street 12, #17-09"	S0531589Q	9660-9702	6697-4738	16-Jun-2001	8-Oct-1981
"07199"	female	Cynthia Wee_e	"Blk 30 Geylang East Street 76, #09-03"	S0495140R	9621-2303	6585-1845	22-Mar-2003	15-Mar-1984
"07222"	male	Felix Tan_e	4 Jalan Tamban	S6856244M	9950-5125	6151-5833	24-Sep-2005	24-Aug-1981
"07227"	female	Cassandra Chia_f_g	"Blk 420 Sengkang Street 12, #17-09"	S0531589Q	9660-9702	6697-4738	16-Jun-2001	8-Oct-1981
"07237"	male	Danish Othman_n	74 Tanglin Avenue North	S9834886H	9407-9519	6556-9282	6-Oct-2004	10-Mar-1988
"07256"	male	George Goh_p	"Blk 156 Geylang East Street 89, #02-36"	S0857243X	9149-6224	6104-5212	10-Mar-2005	28-Mar-1981
"07341"	male	Danish Othman_n_b	74 Tanglin Avenue North	S9834886H	9407-9519	6556-9282	6-Oct-2004	10-Mar-1988
"07367"	female	Betty Ee_i_a	“9 Bukit Timah View”	S1196675X	9909-6175	6596-9768	20-Jul-2005	14-Aug-1985
"07369"	male	Boris Tan_k	“13 Jalan Ulu Siglap”	G9955067I	9885-3712	6933-4997	6-Mar-2007	12-Apr-1983
"07419"	male	Gilbert Khoo Kai Wen_l	36 Tengah Heights	S1935493N	8406-0110	6495-3460	23-Apr-2008	11-Jul-1973
"07431"	female	Adeline Ong_o	"Blk 20 Aljunied Street 29, #04-21"	S2842623F	9325-9377	6471-9206	18-May-2003	21-Oct-1987
"07446"	female	Farida Mahmood_l	1 Chong Boon Terrace	S3333309I	9522-5137	6924-3721	25-Sep-2008	23-Apr-1988
"07484"	female	Estelle Ling_k	"Blk 19 Hougang Street 20, #07-03"	S4688382F	8826-2150	6525-3020	12-Nov-2002	3-Oct-1973
"07491"	male	Darian Loh_o	"Blk 442 Lorong 18 Novena, #11-19"	S3972902H	9774-5316	6699-8586	3-Mar-2000	14-Dec-1983
"07512"	female	Cathy Pang_e	"44 Rochor Center, #18-12"	S4321919L	8471-3854	6340-6341	10-Apr-2002	3-Apr-1980
"07521"	female	Ava Koh_p	"Blk 43 Lorong 7 Telok Blangah, #04-08"	S0583164R	9579-1735	6063-8965	9-May-2006	14-Dec-1979
"07527"	female	Georgina Guo_p	9 Sengkang Walk	S3942802Q	9012-9541	6955-8378	9-Sep-2004	8-Jun-1981
"07547"	male	Dan Chew_e	73 Jalan Pergam	S6498501N	9062-6202	6026-6333	4-Sep-2002	6-Mar-1985
"07557"	male	Darian Loh_o_h	"Blk 442 Lorong 18 Novena, #11-19"	S3972902H	9774-5316	6699-8586	3-Mar-2000	14-Dec-1983
"07558"	male	Garett Gomez_g	"Blk 359 Lorong 3 Jurong East, #12-20"	S9806338R	9349-1492	6716-7611	3-Aug-2005	4-Nov-1988
"07611"	male	Boris Tan_k_o	“13 Jalan Ulu Siglap”	G9955067I	9885-3712	6933-4997	6-Mar-2007	12-Apr-1983
"07615"	female	Doris Tan_g	"45 Sennett Road, #05-39"	S3012230M	8598-5754	6784-5597	3-Jan-2002	26-Sep-1982
"12429"	female	Farida Mohamad_e	1 Serangoon Heights	S0572623F	8622-8085	6168-6624	4-Jul-2001	13-Nov-1970
"12444"	male	Gilbert Khoo Kai Wen_l_g	36 Tengah Heights	S1935493N	8406-0110	6495-3460	23-Apr-2008	11-Jul-1973
"12468"	female	Estelle Ling_k_o	"Blk 19 Hougang Street 20, #07-03"	S4688382F	8826-2150	6525-3020	12-Nov-2002	3-Oct-1973
"12501"	female	Charmaine  Zhou_l	21 Punggol Walk	S7297600X	9868-0904	6061-9800	2-Jan-2007	19-Jul-1982
"12504"	female	Cynthia Wee_e_i	"Blk 30 Geylang East Street 76, #09-03"	S0495140R	9621-2303	6585-1845	22-Mar-2003	15-Mar-1984
"12515"	male	Gilbert Khoo Kai Wen_l_g_g	36 Tengah Heights	S1935493N	8406-0110	6495-3460	23-Apr-2008	11-Jul-1973
"12528"	female	Dorothy Eng_j	"Blk 19 Bukit Merah Street 25, #14-14"	S3245394U	9404-4946	6374-6185	20-Nov-2005	25-Feb-1978
"12577"	male	Danish Othman_n_b_a	74 Tanglin Avenue North	S9834886H	9407-9519	6556-9282	6-Oct-2004	10-Mar-1988
"12589"	female	Cynthia Wee_e_i_e	"Blk 30 Geylang East Street 76, #09-03"	S0495140R	9621-2303	6585-1845	22-Mar-2003	15-Mar-1984
"12651"	female	Anabelle Wee_d	“1 Jalan Terang Bulan	S8296376K”	9709-3080	6534-8384	16-Apr-2005	25-Mar-1979
"12734"	female	Doris Tan_g_f	"45 Sennett Road, #05-39"	S3012230M	8598-5754	6784-5597	3-Jan-2002	26-Sep-1982
"12739"	male	Ahmad Saat_c	"Blk 24 Boon Lay Street 29, #17-33"	S1555946P	8937-5218	6161-9080	11-Feb-2005	2-Apr-1989
"12744"	male	George Goh_p_e	"Blk 156 Geylang East Street 89, #02-36"	S0857243X	9149-6224	6104-5212	10-Mar-2005	28-Mar-1981
"12756"	female	Chloe Tan_b	"Blk 413 Pasir Ris Street 26, #06-02"	S9503833N	9775-4953	6114-4409	11-Nov-2002	19-Nov-1984
"12757"	male	Ahmad Saat_c_o	"Blk 24 Boon Lay Street 29, #17-33"	S1555946P	8937-5218	6161-9080	11-Feb-2005	2-Apr-1989
"12775"	male	Dan Chew_e_c	73 Jalan Pergam	S6498501N	9062-6202	6026-6333	4-Sep-2002	6-Mar-1985
"12776"	male	Ahmad Saat_c_o_c	"Blk 24 Boon Lay Street 29, #17-33"	S1555946P	8937-5218	6161-9080	11-Feb-2005	2-Apr-1989
"12824"	female	Anabelle Wee_d_n	“1 Jalan Terang Bulan	S8296376K”	9709-3080	6534-8384	16-Apr-2005	25-Mar-1979
"12838"	female	Burairah Kadir_k	"Blk 164 Lorong 3 Woodlands, #14-23"	S7824441I	8924-0256	6380-6517	22-Apr-2005	10-Aug-1984
"12857"	male	Bernie Kwok_p_f	"Blk 207 Geylang East Street 84, #03-34"	S2593754G	9628-7759	6406-2171	22-Aug-2004	30-Dec-1985
"12858"	female	Bernice Quek_k	"4 Hillview Court, #05-39"	S1525342C	9559-7410	6586-4720	12-May-2007	8-Dec-1992
"12867"	female	Georgina Guo_p_n	9 Sengkang Walk	S3942802Q	9012-9541	6955-8378	9-Sep-2004	8-Jun-1981
"12962"	male	Clifford Lim_l	72 Jalan Mas Kuning	S4152299C	9680-4803	6986-6037	21-Apr-2005	25-Nov-1975
"12963"	male	Douglas Yap_z	"Blk 19 Jurong Central Street 39, #02-31"	S3651212T	9589-9256	6967-0492	1-Aug-2005	2-Mar-1989
"13011"	female	Cathy Pang_e_o	"44 Rochor Center, #18-12"	S4321919L	8471-3854	6340-6341	10-Apr-2002	3-Apr-1980
"13083"	male	Danish Othman_n_b_a_h	74 Tanglin Avenue North	S9834886H	9407-9519	6556-9282	6-Oct-2004	10-Mar-1988
"13090"	male	Dan Chew_e_c_e	73 Jalan Pergam	S6498501N	9062-6202	6026-6333	4-Sep-2002	6-Mar-1985
"13101"	female	Estelle Ling_k_o_e	"Blk 19 Hougang Street 20, #07-03"	S4688382F	8826-2150	6525-3020	12-Nov-2002	3-Oct-1973
"13116"	female	Doris Tan_g_f_i	"45 Sennett Road, #05-39"	S3012230M	8598-5754	6784-5597	3-Jan-2002	26-Sep-1982
"13134"	male	Bernie Kwok_p_f_a	"Blk 207 Geylang East Street 84, #03-34"	S2593754G	9628-7759	6406-2171	22-Aug-2004	30-Dec-1985
"13139"	female	Adeline Ong_o_m	"Blk 20 Aljunied Street 29, #04-21"	S2842623F	9325-9377	6471-9206	18-May-2003	21-Oct-1987
"13152"	male	Gavin Chang_o	84 Serangoon Vista	S1345891D	9103-0522	6659-2617	13-Mar-2006	18-May-1987
"13179"	male	Gilbert Khoo Kai Wen_l_g_g_f	36 Tengah Heights	S1935493N	8406-0110	6495-3460	23-Apr-2008	11-Jul-1973
"13267"	female	Cassandra Chia_f_g_h	"Blk 420 Sengkang Street 12, #17-09"	S0531589Q	9660-9702	6697-4738	16-Jun-2001	8-Oct-1981
"13417"	female	Cynthia Wee_e_i_e_p	"Blk 30 Geylang East Street 76, #09-03"	S0495140R	9621-2303	6585-1845	22-Mar-2003	15-Mar-1984
"13444"	male	Gavin Chang_o_a	84 Serangoon Vista	S1345891D	9103-0522	6659-2617	13-Mar-2006	18-May-1987
"13458"	female	Burairah Kadir_k_k	"Blk 164 Lorong 3 Woodlands, #14-23"	S7824441I	8924-0256	6380-6517	22-Apr-2005	10-Aug-1984
"13491"	female	Catherine Tay_e	"Blk 155 Geylang East Street 88, #18-42"	S6320193K	9876-7340	6781-8618	8-Dec-2006	15-Apr-1985
"13512"	male	Douglas Lok_d	26 Queenstown Lane	S6475863N	8629-2994	6973-8190	5-Apr-2008	21-Sep-1979
"13547"	female	Cassandra Chia_f_g_h_m	"Blk 420 Sengkang Street 12, #17-09"	S0531589Q	9660-9702	6697-4738	16-Jun-2001	8-Oct-1981
"13584"	female	Cathy Pang_e_o_o	"44 Rochor Center, #18-12"	S4321919L	8471-3854	6340-6341	10-Apr-2002	3-Apr-1980
"13595"	female	Doris Tan_g_f_i_z	"45 Sennett Road, #05-39"	S3012230M	8598-5754	6784-5597	3-Jan-2002	26-Sep-1982
"13733"	female	Georgina Guo_p_n_d	9 Sengkang Walk	S3942802Q	9012-9541	6955-8378	9-Sep-2004	8-Jun-1981
"13844"	male	Douglas Lok_d_z	26 Queenstown Lane	S6475863N	8629-2994	6973-8190	5-Apr-2008	21-Sep-1979
"13929"	female	Burairah Kadir_k_k_f	"Blk 164 Lorong 3 Woodlands, #14-23"	S7824441I	8924-0256	6380-6517	22-Apr-2005	10-Aug-1984
"13962"	female	Adeline Ong_o_m_o	"Blk 20 Aljunied Street 29, #04-21"	S2842623F	9325-9377	6471-9206	18-May-2003	21-Oct-1987
"14006"	female	Adeline Ong_o_m_o_m	"Blk 20 Aljunied Street 29, #04-21"	S2842623F	9325-9377	6471-9206	18-May-2003	21-Oct-1987
"14259"	female	Catherine Tay_e_k	"Blk 155 Geylang East Street 88, #18-42"	S6320193K	9876-7340	6781-8618	8-Dec-2006	15-Apr-1985
"14309"	female	Betty Ee_i_a_o	“9 Bukit Timah View”	S1196675X	9909-6175	6596-9768	20-Jul-2005	14-Aug-1985
"14480"	male	Garett Gomez_g_m	"Blk 359 Lorong 3 Jurong East, #12-20"	S9806338R	9349-1492	6716-7611	3-Aug-2005	4-Nov-1988
"14510"	male	Douglas Lok_d_z_j	26 Queenstown Lane	S6475863N	8629-2994	6973-8190	5-Apr-2008	21-Sep-1979
"14533"	female	Elaina Ling_b	"Blk 17 Lorong 6 Jurong, #14-11"	S1897996D	9207-2424	6164-2504	21-Mar-2007	21-Apr-1990
"14621"	female	Cynthia Wee_e_i_e_p_l	"Blk 30 Geylang East Street 76, #09-03"	S0495140R	9621-2303	6585-1845	22-Mar-2003	15-Mar-1984
"14721"	female	Adeline Ong_o_m_o_m_d	"Blk 20 Aljunied Street 29, #04-21"	S2842623F	9325-9377	6471-9206	18-May-2003	21-Oct-1987
"14740"	female	Doris Tan_g_f_i_z_l	"45 Sennett Road, #05-39"	S3012230M	8598-5754	6784-5597	3-Jan-2002	26-Sep-1982
"14815"	female	Estelle Ling_k_o_e_b	"Blk 19 Hougang Street 20, #07-03"	S4688382F	8826-2150	6525-3020	12-Nov-2002	3-Oct-1973
"14822"	male	Adam Hazirah_a	"3 Seletar Park, #12-36"	S6818385W	9428-3102	6579-0943	11-Jun-2006	19-Apr-1981
